instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
189,12,120,BruteForce,U,0.005051999818533659,{}
190,12,120,BruteForce,U,0.004522082861512899,{}
191,16,160,BruteForce,S,0.04877829202450812,"{1: 0, 2: 0, 3: 1, 4: 1, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 1, 11: 0, 12: 0, 13: 0, 14: 1, 15: 1, 16: 0}"
192,16,160,BruteForce,U,0.08397558401338756,{}
193,16,160,BruteForce,U,0.10186595912091434,{}
194,16,160,BruteForce,S,0.02359958295710385,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 1, 6: 1, 7: 0, 8: 0, 9: 0, 10: 1, 11: 0, 12: 1, 13: 1, 14: 1, 15: 0, 16: 0}"
195,16,160,BruteForce,S,0.022820833139121532,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 0, 11: 0, 12: 1, 13: 0, 14: 0, 15: 1, 16: 0}"
196,16,160,BruteForce,U,0.0877391251269728,{}
197,16,160,BruteForce,U,0.09276670892722905,{}
198,16,160,BruteForce,U,0.07988816709257662,{}
199,16,160,BruteForce,S,0.03205516585148871,"{1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 0, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 0, 13: 1, 14: 0, 15: 1, 16: 0}"
200,16,160,BruteForce,S,0.00039187492802739143,"{1: 0, 2: 0, 3: 1, 4: 0, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: 0}"
201,18,180,BruteForce,S,0.02370395790785551,"{1: 1, 2: 1, 3: 1, 4: 0, 5: 1, 6: 1, 7: 0, 8: 0, 9: 1, 10: 1, 11: 1, 12: 0, 13: 0, 14: 0, 15: 1, 16: 0, 17: 0, 18: 0}"
202,18,180,BruteForce,U,0.41167624993249774,{}
